X,CH1,
Second,Volt,
3.7599999e-02,-1.04000e+00,
3.7799999e-02,-1.36000e+00,
3.7999999e-02,-1.36000e+00,
3.8199998e-02,-6.80000e-01,
3.8399998e-02,-5.60000e-01,
3.8599998e-02,6.40000e-01,
3.8799997e-02,7.60000e-01,
3.9000001e-02,1.32000e+00,
3.9200000e-02,1.28000e+00,
3.9400000e-02,5.20000e-01,
3.9600000e-02,4.00000e-01,
3.9799999e-02,-6.80000e-01,
3.9999999e-02,-8.00000e-01,
4.0199999e-02,-1.20000e+00,
4.0399998e-02,-1.20000e+00,
4.0599998e-02,-4.80000e-01,
4.0799998e-02,-3.60000e-01,
4.0999997e-02,7.60000e-01,
4.1200001e-02,8.40000e-01,
4.1400000e-02,1.12000e+00,
4.1600000e-02,1.04000e+00,
4.1800000e-02,4.40000e-01,
4.1999999e-02,3.60000e-01,
4.2199999e-02,-6.00000e-01,
4.2399999e-02,-6.80000e-01,
4.2599998e-02,-1.00000e+00,
4.2799998e-02,-9.60000e-01,
4.2999998e-02,-4.00000e-01,
4.3199997e-02,-3.20000e-01,
4.3399997e-02,4.40000e-01,
4.3600000e-02,5.20000e-01,
4.3800000e-02,9.20000e-01,
4.4000000e-02,9.20000e-01,
4.4199999e-02,6.00000e-01,
4.4399999e-02,5.20000e-01,
4.4599999e-02,-2.40000e-01,
4.4799998e-02,-2.80000e-01,
4.4999998e-02,-7.60000e-01,
4.5199998e-02,-8.40000e-01,
4.5399997e-02,-7.20000e-01,
4.5599997e-02,-7.20000e-01,
4.5799997e-02,-2.00000e-01,
4.6000000e-02,-1.20000e-01,
4.6200000e-02,4.00000e-01,
4.6399999e-02,4.80000e-01,
4.6599999e-02,7.20000e-01,
4.6799999e-02,7.60000e-01,
4.6999998e-02,6.80000e-01,
4.7199998e-02,6.40000e-01,
4.7399998e-02,2.40000e-01,
4.7599997e-02,1.60000e-01,
4.7799997e-02,-3.20000e-01,
4.7999997e-02,-4.00000e-01,
4.8199996e-02,-6.40000e-01,
4.8399996e-02,-6.80000e-01,
4.8599999e-02,-6.00000e-01,
4.8799999e-02,-5.60000e-01,
4.8999999e-02,-2.80000e-01,
4.9199998e-02,-2.40000e-01,
4.9399998e-02,2.40000e-01,
4.9599998e-02,2.40000e-01,
4.9799997e-02,5.20000e-01,
4.9999997e-02,5.60000e-01,
5.0199997e-02,6.00000e-01,
5.0399996e-02,5.60000e-01,
5.0599996e-02,3.60000e-01,
5.0799999e-02,3.20000e-01,
5.0999999e-02,0.00000e+00,
5.1199999e-02,-8.00000e-02,
5.1399998e-02,-4.00000e-01,
5.1599998e-02,-4.40000e-01,
5.1799998e-02,-5.20000e-01,
5.1999997e-02,-5.20000e-01,
5.2199997e-02,-3.20000e-01,
5.2399997e-02,-3.20000e-01,
5.2599996e-02,4.00000e-02,
5.2799996e-02,8.00000e-02,
5.2999996e-02,3.60000e-01,
5.3199999e-02,4.00000e-01,
5.3399999e-02,4.80000e-01,
5.3599998e-02,4.40000e-01,
5.3799998e-02,2.40000e-01,
5.3999998e-02,2.40000e-01,
